district,vote_share,mshare,eshare,rep_inc,mccain,median_age,pct_white,pct_college,med_hhinc,pct_female,cshare_nm,aug_mshare,sep_mshare,oct_mshare,aug_cnnshare,sep_cnnshare,oct_cnnshare,vote_share_12,mshare_12
213,41.36673537,34.39490446,37.77777778,0,33,35.3,76.3,30.1,49.6,51,0,25,19.35483871,38.59649123,0,0,0,42.38956392,74.11764706
214,47.16696818,33.69565217,34.17721519,0,47,38,92.8,26.2,52.093,50.5,0,20,26.31578947,35.82089552,0,0,0,54.08591185,94.87179487
215,63.37270662,77.14285714,74.19354839,1,50,36.9,88,36.9,71.934,50.1,0,69.23076923,87.5,78.57142857,0,0,0,58.16146618,54.47761194
216,61.65513337,72.5,67.64705882,1,46,38.9,81,44.6,70.866,51.4,0,75,72.22222222,66.66666667,0,0,0,33.60227245,29.65517241
217,36.95057795,26.27737226,30.1369863,0,34,35.4,73.3,36.8,52.977,51.4,0,20,27.90697674,27.27272727,0,0,0,25.29620498,28.68852459
218,26.28930518,16.02209945,13.5483871,0,24,34,70.6,42.8,50.677,50.2,0,9.375,22.91666667,15.15151515,0,0,0,50.60646444,92.45313773
219,56.89029045,81.85117967,81.54929577,1,53,36.1,91.2,30.2,66.723,49.9,83.33333333,95.0877193,88.25757576,72.70471464,0,0.785714286,0.875,36.59366164,19.23076923
220,40.51522248,34.48275862,33.33333333,0,50,40.7,92.5,20.8,47.671,49.6,0,33.33333333,71.42857143,16.66666667,0,0,0,45.5381054,52.47933884
221,50.83764629,58.66666667,56.52173913,0,45,42.2,93.7,20.9,46.631,49.4,0,0,66.66666667,61.66666667,0,0,0,62.08033613,54.83870968
222,57.52772472,53.15315315,41.66666667,0,62,37.2,69.2,16.9,39.089,52.1,0,33.33333333,46.15384615,55.12820513,0,0,0,31.56574499,12.12121212
223,37.97946133,56.25,50,0,34,34.1,30.9,19.7,30.752,51.6,0,50,50,62.5,0,0,0,NA,NA
224,68.55123492,100,100,1,62,36.8,61.6,23.3,37.872,51.6,0,0,0,100,0,0,0,68.96684279,48.57142857
225,52.58145139,100,100,0,68,36,72.4,19.6,39.168,50.4,0,0,100,100,0,0,0,18.50352386,13.18681319
226,24.30940765,9.090909091,10.52631579,0,19,36.7,38.6,26.1,37.887,53.9,0,0,0,100,0,0,0,61.83309284,94.93670886
227,69.96797804,85.71428571,85.71428571,1,55,39.7,90.8,44,71.348,51.1,0,100,100,66.66666667,0,0,0,65.89629239,50
228,48.80482089,52.10526316,52.77777778,0,39,37,86,29.3,47.578,50.9,50,50,55.73770492,53.93258427,0,0.5,0,52.7804261,67.03296703
229,52.7804261,47.32824427,47.45762712,0,61,38.8,92,18.4,42.472,49.6,0,0,45.45454545,49.05660377,0,0,0,37.88282435,9.705882353
230,45.31271765,27.27272727,29.03225806,0,35,36.5,65.4,27.1,43.57,51.8,0,0,11.11111111,37.93103448,0,0,0,66.65642315,80.95238095
231,69.45800374,100,100,1,54,38,90.4,25.8,50.992,50.5,0,100,100,100,0,0,0,67.39157063,78.82352941
232,67.61285992,73.17073171,66.07142857,1,63,37.4,92.8,23.3,41.087,51,0,80,56,80,0,0,0,74.55302617,75
233,69.50550639,0,0,1,62,40.5,91.4,14.5,34.344,50.3,0,0,0,0,0,0,0,55.48742743,49.27536232
234,NA,100,100,1,55,37.2,91.3,24.9,44.527,50.4,0,0,100,0,0,0,0,68.29067338,57.14285714
235,64.09421463,46.66666667,46.66666667,1,49,39.7,89.3,28.2,44.222,49.9,0,0,100,25,0,0,0,50.79569713,63.52201258
236,71.27280045,71.42857143,71.42857143,1,54,35.9,90.6,28.6,51.522,50.2,0,100,0,50,0,0,0,74.17141229,75.35211268
237,60.80634501,49.35064935,41.26984127,1,49,33.8,79.8,34.9,53.553,50.7,0,0,18.75,60,0,0,0,33.15247994,61.11111111
238,79.66672781,96.42857143,96.15384615,1,69,40.5,95.1,19.5,44.898,50.6,0,100,100,92.85714286,0,0,0,61.39036907,46.15384615
239,36.36257173,5.555555556,6.25,0,34,34.5,63.7,16.6,41.818,48.6,0,10,0,0,0,0,0,54.01882181,71.54471545
240,65.96802386,69.23076923,70,1,49,39.4,80.8,24.1,50.637,49.3,0,66.66666667,66.66666667,71.42857143,0,0,0,45.66201604,55.55555556
241,50.34129426,40,41.7218543,0,43,36.4,70.1,25.4,52.958,50.6,50,34.48275862,27.27272727,44.35483871,0,0,0.5,48.03350802,62.39669421
242,56.02142219,44,49.05660377,0,47,41,94.3,32.9,63.561,50.5,0,33.33333333,58.82352941,42,0,0,0,47.47123369,82.95454545
243,50.83072027,77.41935484,76.92307692,0,43,41.9,94,33.9,61.83,50.7,100,100,81.25,71.42857143,0,1,1,30.5216734,8.695652174
244,35.51450611,43.75,38.46153846,0,34,38.2,70,25.6,59.072,51.8,0,0,25,60,0,0,0,58.86755269,58.82352941
245,67.92429414,76.92307692,76.92307692,1,45,40.2,72.9,23,55.126,50.9,0,100,50,80,0,0,0,54.49510413,57.94392523
246,51.39019057,52.54237288,51.85185185,0,47,43.2,81,32.4,68.293,51.3,66.66666667,0,52,54.65116279,0,0.5,1,64.37539586,95.51282051
247,71.34326717,98.13084112,97.97979798,1,52,39.2,82.4,31,66.111,51.1,100,100,100,100,0,0,1,56.28374905,86.36363636
248,66.44559208,86.66666667,86.66666667,1,54,42.5,84.6,44.7,90.01,51.7,0,66.66666667,87.5,100,0,0,0,35.7242676,58.13953488
249,44.39414711,59.35483871,59.61538462,0,39,36.6,66.1,34.6,68.549,51.2,50,52.94117647,72.22222222,58.33333333,0,0.5,0,58.80509777,49.15254237
250,59.37418779,41.66666667,47.61904762,1,48,41,74.9,46.3,93.914,50.5,0,75,33.33333333,36.36363636,0,0,0,19.53251833,61.53846154
251,36.57536505,63.15789474,57.14285714,0,36,37.3,66.1,32.2,59.905,51.8,0,75,50,66.66666667,0,0,0,25.2811902,77.55102041
