"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
217,"La Mission","4/9/2010","?","?","R",1062941,134720,1062941
218,"Buried","9/24/2010","Lionsgate","Thriller/Suspense","R",1044143,132338,1044147
219,"Tees Maar Khan","12/22/2010","UTV Communications","Comedy","?",1030502,130609,1030505
220,"Guzaarish","11/19/2010","UTV Communications","Drama","?",1026589,130113,1026592
221,"2010 Oscar Shorts","2/19/2010","Shorts International","Multiple Genres","?",1018169,129046,1018173
222,"Animal Kingdom","8/13/2010","Sony Pictures Classics","Drama","R",1016417,128823,1016413
223,"Les sept jours du talion","2/5/2010","Alliance","?","?",1011919,128253,1011916
224,"Princess Kaiulani","5/14/2010","Roadside Attractions","Drama","PG",883887,112026,883885
225,"Anjaana Anjaani","10/1/2010","Eros Entertainment","?","?",854757,108334,854755
226,"I Hate Luv Storys","7/2/2010","UTV Communications","Romantic Comedy","?",847993,107477,847994
227,"The Tillman Story","8/20/2010","Weinstein Co.","Documentary","R",798940,101260,798941
228,"Sea Monsters: A Prehistoric Adventure","10/5/2007","National Geographic Entertainment","Documentary","Not Rated",781527,99053,781528
229,"L'enfant prodige","5/28/2010","Alliance","Drama","?",773615,98050,773615
230,"What If...","8/20/2010","Five & Two Pictures","?","PG",767544,97281,767547
231,"Peepli Live","8/13/2010","UTV Communications","Drama","?",754836,95670,754836
232,"Middle Men","8/6/2010","Paramount Vantage","Comedy","R",754301,95602,754300
233,"The Fourth Kind","11/6/2009","Universal","Thriller/Suspense","PG-13",753690,95525,753692
234,"North Face","1/29/2010","Music Box Films","?","?",711421,90167,711418
235,"Raavan","6/18/2010","Reliance Big Pictures","?","?",708726,89826,708727
236,"The Wildest Dream","8/6/2010","National Geographic Entertainment","Documentary","PG",694298,87997,694296
237,"Couples Retreat","10/9/2009","Universal","Comedy","PG-13",693900,87947,693902
238,"The Secret of Kells","3/5/2010","GKIDS","Adventure","?",690290,87489,690288
